(0.94444, 0.5, 0.05556),
(0.05556, 0.5, 0.05556),
(0.05556, 0.5, 0.94444),
(0.94444, 0.5, 0.94444),
(0.94444, 0.5, 0.16667),
(0.05556, 0.5, 0.16667),
(0.05556, 0.5, 0.83333),
(0.94444, 0.5, 0.83333),
(0.94444, 0.5, 0.27778),
(0.05556, 0.5, 0.27778),
(0.05556, 0.5, 0.72222),
(0.94444, 0.5, 0.72222),
(0.94444, 0.5, 0.38889),
(0.05556, 0.5, 0.38889),
(0.05556, 0.5, 0.61111),
(0.94444, 0.5, 0.61111),
(0.94444, 0.5, 0.5),
(0.05556, 0.5, 0.5),
(0.16667, 0.5, 0.05556),
(0.83333, 0.5, 0.05556),
(0.83333, 0.5, 0.94444),
(0.16667, 0.5, 0.94444),
(0.16667, 0.5, 0.16667),
(0.83333, 0.5, 0.16667),
(0.83333, 0.5, 0.83333),
(0.16667, 0.5, 0.83333),
(0.16667, 0.5, 0.27778),
(0.83333, 0.5, 0.27778),
(0.83333, 0.5, 0.72222),
(0.16667, 0.5, 0.72222),
(0.16667, 0.5, 0.38889),
(0.83333, 0.5, 0.38889),
(0.83333, 0.5, 0.61111),
(0.16667, 0.5, 0.61111),
(0.16667, 0.5, 0.5),
(0.83333, 0.5, 0.5),
(0.27778, 0.5, 0.05556),
(0.72222, 0.5, 0.05556),
(0.72222, 0.5, 0.94444),
(0.27778, 0.5, 0.94444),
(0.27778, 0.5, 0.16667),
(0.72222, 0.5, 0.16667),
(0.72222, 0.5, 0.83333),
(0.27778, 0.5, 0.83333),
(0.27778, 0.5, 0.27778),
(0.72222, 0.5, 0.27778),
(0.72222, 0.5, 0.72222),
(0.27778, 0.5, 0.72222),
(0.27778, 0.5, 0.38889),
(0.72222, 0.5, 0.38889),
(0.72222, 0.5, 0.61111),
(0.27778, 0.5, 0.61111),
(0.27778, 0.5, 0.5),
(0.72222, 0.5, 0.5),
(0.38889, 0.5, 0.05556),
(0.61111, 0.5, 0.05556),
(0.61111, 0.5, 0.94444),
(0.38889, 0.5, 0.94444),
(0.38889, 0.5, 0.16667),
(0.61111, 0.5, 0.16667),
(0.61111, 0.5, 0.83333),
(0.38889, 0.5, 0.83333),
(0.38889, 0.5, 0.27778),
(0.61111, 0.5, 0.27778),
(0.61111, 0.5, 0.72222),
(0.38889, 0.5, 0.72222),
