h,k,l,intensity_exp,intensity_exp_err,intensity_sim,normalised_intensity_exp
0.0,-0.111111111111111,0.0,0.0,0.0,1.8629773e-07,0.0
0.0,-0.222222222222222,0.0,0.0,0.0,0.4938177,0.0
0.0,-0.333333333333333,0.0,0.0,0.0,0.0035759371,0.0
0.0,-0.444444444444444,0.0,0.0,0.0,0.13708678,0.0
0.0,-0.555555555555556,0.0,0.0,0.0,0.00046286418,0.0
0.0,-0.666666666666667,0.0,0.0,0.0,0.1234901,0.0
0.0,-0.777777777777778,0.0,0.0,0.0,0.076276064,0.0
0.0,-0.888888888888889,0.0,1.72320564623419,0.0,0.037608393,0.041787570021460385
0.0,-1.11111111111111,0.0,0.0,0.0,0.05899634,0.0
0.0,-1.22222222222222,0.0,0.0,0.0,0.13446863,0.0
0.0,-1.33333333333333,0.0,0.391262726229631,0.0,0.14757155,0.00948808321562694
0.0,-1.44444444444444,0.0,0.0,0.0,0.004479411,0.0
0.0,-1.55555555555556,0.0,0.0,0.0,0.10623907,0.0
0.0,-1.66666666666667,0.0,0.0,0.0,0.091949604,0.0
0.0,-1.77777777777778,0.0,178.033015491396,0.0,3.2876816,4.317283382419575
0.0,-1.88888888888889,0.0,0.0,0.0,0.010158665,0.0
0.0,-2.11111111111111,0.0,0.0,0.0,0.011806926,0.0
0.0,-2.22222222222222,0.0,0.0,0.0,1.124295,0.0
0.0,-2.33333333333333,0.0,15.8712996311208,0.0,0.13816456,0.3848774788525179
0.0,-2.44444444444444,0.0,0.0,0.0,0.09967618,0.0
0.0,-2.55555555555556,0.0,0.0,0.0,0.01018867,0.0
0.0,-2.66666666666667,0.0,0.824367156681975,0.0,0.13392581,0.019990823706109533
0.0,-2.77777777777778,0.0,0.0,0.0,0.003999522,0.0
0.0,-2.88888888888889,0.0,0.0,0.0,0.03926824,0.0
0.0,-3.11111111111111,0.0,0.0,0.0,0.039112277,0.0
0.0,-3.22222222222222,0.0,0.0,0.0,0.016243326,0.0
0.0,-3.33333333333333,0.0,2.49197608789587,0.0,0.11488901,0.06043017877310358
0.0,-3.44444444444444,0.0,0.0,0.0,0.02145644,0.0
0.0,-3.55555555555556,0.0,23.7481817590712,0.0,0.22096218,0.5758911075461322
0.0,-3.66666666666667,0.0,12.7556851483147,0.0,0.10007427,0.3093241294048443
0.0,-3.77777777777778,0.0,0.0,0.0,0.24094896,0.0
0.0,-3.88888888888889,0.0,0.0,0.0,0.0019010375,0.0
0.0,-4.11111111111111,0.0,0.0,0.0,0.0012214364,0.0
0.0,-4.22222222222222,0.0,0.0,0.0,0.22007708,0.0
