h,k,l,intensity_exp,intensity_exp_err,intensity_sim
0.0,1.11111111111111,0.0,0.144402210544555,0.0,0.11826602
0.0,1.22222222222222,0.0,0.116108416915395,0.0,0.16843744
0.0,1.33333333333333,0.0,0.191090097670951,0.0,0.23962052
0.0,1.44444444444444,0.0,0.122405298406779,0.0,0.122109964
0.0,1.55555555555556,0.0,0.179914062941838,0.0,0.29961613
0.0,1.66666666666667,0.0,0.923212327774264,0.0,0.91536266
0.0,1.77777777777778,0.0,1.52865463785481,0.0,0.91198117
0.0,1.88888888888889,0.0,0.727226017117099,0.0,0.6763569
0.0,2.11111111111111,0.0,0.667524253165032,0.0,0.81234956
0.0,2.22222222222222,0.0,0.363081799428296,0.0,0.60090023
0.0,2.33333333333333,0.0,0.796770716428134,0.0,1.0
0.0,2.44444444444444,0.0,0.504289108626913,0.0,0.67753035
0.0,2.55555555555556,0.0,0.0342627167844143,0.0,0.057006694
0.0,2.66666666666667,0.0,0.153310379913609,0.0,0.19381833
0.0,2.77777777777778,0.0,0.0375966194443134,0.0,0.12800677
0.0,2.88888888888889,0.0,0.0550263722704709,0.0,0.1348189
0.0,3.11111111111111,0.0,0.111878918781435,0.0,0.11206346
0.0,3.22222222222222,0.0,0.057982093313309,0.0,0.10723824
0.0,3.33333333333333,0.0,0.38531401234868,0.0,0.11333891
0.0,3.44444444444444,0.0,0.0432258698463881,0.0,0.017331496
0.0,3.55555555555556,0.0,0.817387339122899,0.0,0.42288676
0.0,3.66666666666667,0.0,0.62374036946144,0.0,0.38359264
0.0,3.77777777777778,0.0,0.233498131735901,0.0,0.06110853
0.0,3.88888888888889,0.0,0.52927745142315,0.0,0.38149375
0.0,4.11111111111111,0.0,0.563933195056389,0.0,0.29563308
0.0,4.22222222222222,0.0,0.250431204980107,0.0,0.02744907
0.0,4.33333333333333,0.0,0.504063197290084,0.0,0.18403283
0.0,4.44444444444444,0.0,0.0954104089748692,0.0,0.15691803
0.0,4.55555555555556,0.0,0.0280975915383573,0.0,0.004296778
0.0,4.66666666666667,0.0,0.0965620114474563,0.0,0.030668212
0.0,4.88888888888889,0.0,0.0598739463450751,0.0,0.009800694
0.333333333333333,1.0,0.0,0.0766978294635676,0.0,0.055706542
0.333333333333333,1.88888888888889,0.0,0.0280522323247815,0.0,0.015720058
0.333333333333333,2.0,0.0,0.197701923859548,0.0,0.21505637
0.333333333333333,3.0,0.0,0.0377704913415208,0.0,0.017662667
0.333333333333333,4.0,0.0,0.133313403109995,0.0,0.03470037
0.333333333333333,5.0,0.0,0.0273535990598115,0.0,0.0016353611
0.555555555555556,1.22222222222222,0.0,0.0249082166154164,0.0,0.13170432
0.666666666666667,1.44444444444444,0.0,0.0215347304950631,0.0,0.022187166
0.666666666666667,1.88888888888889,0.0,0.0212889972216693,0.0,0.05378644
0.666666666666667,2.88888888888889,0.0,0.0202935002668726,0.0,0.06083035
0.666666666666667,3.0,0.0,0.0378886937581809,0.0,0.07562713
0.777777777777778,1.55555555555556,0.0,0.0280121813982907,0.0,0.06553803
0.888888888888889,1.0,0.0,0.0379424126600342,0.0,0.077868044
0.888888888888889,1.77777777777778,0.0,0.0378756611970964,0.0,0.061165232
0.888888888888889,2.66666666666667,0.0,0.646043535114367,0.0,0.64789593
0.888888888888889,3.66666666666667,0.0,0.031514185145548,0.0,0.06595867
0.888888888888889,4.44444444444444,0.0,0.36995394420664,0.0,0.14187837
0.888888888888889,4.55555555555556,0.0,0.0289807710700392,0.0,0.020274578
0.888888888888889,4.66666666666667,0.0,0.0286175389238316,0.0,0.032978088
1.0,0.111111111111111,0.0,0.0323710398558501,0.0,0.048273873
1.0,0.222222222222222,0.0,0.0278695894720157,0.0,0.0008708516
1.0,0.333333333333333,0.0,0.0683726130062083,0.0,0.11563421
1.0,0.444444444444444,0.0,0.0227258528691523,0.0,0.008666708
1.0,0.555555555555556,0.0,0.0259057828824655,0.0,0.044881932
1.0,0.666666666666667,0.0,0.0435444881075025,0.0,0.04087439
1.0,0.888888888888889,0.0,0.0369699196189416,0.0,0.010402103
1.0,1.11111111111111,0.0,0.0342278097428609,0.0,0.03749432
1.0,1.22222222222222,0.0,0.0192313826501303,0.0,0.034277666
1.0,1.33333333333333,0.0,0.24462302658378,0.0,0.27131906
1.0,1.55555555555556,0.0,0.0322265330939281,0.0,0.045191146
1.0,1.66666666666667,0.0,0.0196982855776028,0.0,0.09133066
1.0,1.77777777777778,0.0,0.0147513670058821,0.0,0.030062627
1.0,1.88888888888889,0.0,0.0901605985144904,0.0,0.07894514
1.0,2.11111111111111,0.0,0.0472023200719086,0.0,0.057853185
1.0,2.22222222222222,0.0,0.0175586704406044,0.0,0.018346308
1.0,2.33333333333333,0.0,0.14706110821072,0.0,0.12716737
1.0,2.44444444444444,0.0,0.0466000522833464,0.0,0.024501026
1.0,2.55555555555556,0.0,0.0172752567325061,0.0,0.0489702
1.0,2.66666666666667,0.0,0.248525904529404,0.0,0.3616146
1.0,2.77777777777778,0.0,0.098506007451796,0.0,0.098071516
1.0,2.88888888888889,0.0,0.174930614097364,0.0,0.24081253
1.0,3.11111111111111,0.0,0.234998679557133,0.0,0.21418703
1.0,3.33333333333333,0.0,0.370262612582816,0.0,0.23363514
1.0,3.44444444444444,0.0,0.0261624512379408,0.0,0.059910543
1.0,3.55555555555556,0.0,0.0631466373976051,0.0,0.012786367
1.0,3.66666666666667,0.0,0.0179578822085762,0.0,0.05022399
1.0,4.11111111111111,0.0,0.0502470783238448,0.0,0.006567264
1.0,4.22222222222222,0.0,0.0293355072134507,0.0,0.019577004
1.0,4.33333333333333,0.0,0.162043928098736,0.0,0.02737739
1.0,4.66666666666667,0.0,0.18104612107331,0.0,0.06371075
1.0,4.88888888888889,0.0,0.158608100110108,0.0,0.035616413
1.11111111111111,0.333333333333333,0.0,0.0245870571839148,0.0,0.07592981
1.11111111111111,0.666666666666667,0.0,0.0321154618828358,0.0,0.06462826
1.11111111111111,0.777777777777778,0.0,0.0218464157839936,0.0,0.021986114
1.11111111111111,0.888888888888889,0.0,0.0425108952268306,0.0,0.053445693
1.11111111111111,1.11111111111111,0.0,0.0901819118513476,0.0,0.061853923
1.11111111111111,2.22222222222222,0.0,0.0334172133615849,0.0,0.04943297
1.11111111111111,2.33333333333333,0.0,0.026679724963001,0.0,0.11544739
1.11111111111111,3.22222222222222,0.0,0.0733489014082039,0.0,0.008172801
1.11111111111111,4.44444444444444,0.0,0.0252306648439512,0.0,0.1269136
1.22222222222222,1.22222222222222,0.0,0.0377018513372359,0.0,0.039106846
1.22222222222222,3.55555555555556,0.0,0.023757533365905,0.0,0.00012277669
1.22222222222222,3.66666666666667,0.0,0.0235273099416179,0.0,0.08176549
1.33333333333333,0.0,0.0,0.0523441042019741,0.0,0.16067483
1.33333333333333,0.222222222222222,0.0,0.0222355181847959,0.0,0.102882594
1.33333333333333,0.333333333333333,0.0,0.0213248895773354,0.0,0.0065417034
1.33333333333333,0.444444444444444,0.0,0.0239973668430429,0.0,0.029299868
1.33333333333333,0.555555555555556,0.0,0.021915176138171,0.0,0.03438407
1.33333333333333,1.0,0.0,0.17352468446896,0.0,0.17986722
1.33333333333333,1.11111111111111,0.0,0.0239109110044867,0.0,0.22138105
1.33333333333333,1.33333333333333,0.0,0.0257082226847644,0.0,0.036200184
1.33333333333333,1.44444444444444,0.0,0.0243227033866036,0.0,0.020241253
1.33333333333333,3.0,0.0,0.0966758512993542,0.0,0.04730295
1.33333333333333,4.0,0.0,0.0300568202268121,0.0,0.0074037965
1.33333333333333,5.0,0.0,0.088739428877591,0.0,0.0048111104
1.44444444444444,1.44444444444444,0.0,0.0232831384603501,0.0,0.03803417
1.55555555555556,0.777777777777778,0.0,0.0239274790969162,0.0,0.053064357
1.66666666666667,0.0,0.0,0.452719808007667,0.0,0.42559862
1.66666666666667,0.333333333333333,0.0,0.0310982126839382,0.0,0.06396187
1.66666666666667,1.66666666666667,0.0,0.0224267077896445,0.0,0.043153092
1.66666666666667,4.0,0.0,0.0467965481635447,0.0,0.024009427
1.77777777777778,0.0,0.0,1.15684466091854,0.0,0.9182054
1.77777777777778,0.111111111111111,0.0,0.0560808034680091,0.0,0.09389531
1.77777777777778,0.222222222222222,0.0,0.0289585564507073,0.0,0.050701473
1.77777777777778,0.444444444444444,0.0,0.0254926704504793,0.0,0.06338848
1.77777777777778,0.555555555555556,0.0,0.0242644055006937,0.0,0.045589395
1.77777777777778,1.77777777777778,0.0,0.44824767071929,0.0,0.40014663
1.77777777777778,3.55555555555556,0.0,0.257052757146463,0.0,0.07080702
1.77777777777778,3.66666666666667,0.0,0.0266113909568776,0.0,0.018910341
1.88888888888889,0.555555555555556,0.0,0.0520568992598652,0.0,0.07605929
1.88888888888889,0.888888888888889,0.0,0.0304399771318071,0.0,0.10969852
1.88888888888889,1.88888888888889,0.0,0.0741590358328851,0.0,0.11235743
1.88888888888889,3.88888888888889,0.0,0.0718534407835295,0.0,0.018871063
1.88888888888889,4.11111111111111,0.0,0.0511467467045941,0.0,0.014537862
2.0,0.111111111111111,0.0,0.0954918292978317,0.0,0.080093525
2.0,0.222222222222222,0.0,0.0308149003592489,0.0,0.056996126
2.0,0.333333333333333,0.0,0.115717176656325,0.0,0.12190139
2.0,0.444444444444444,0.0,0.0212745218309113,0.0,0.030673265
2.0,1.66666666666667,0.0,0.0745066159265673,0.0,0.06517062
2.0,1.88888888888889,0.0,0.0408687457736433,0.0,0.02401023
2.0,2.11111111111111,0.0,0.0436695679884744,0.0,0.037278276
2.0,2.33333333333333,0.0,0.0855495668788677,0.0,0.13459314
